institucion	carrera	area	tipo_institucion_nivel_1	duracion_real	ingreso_agno4	arancel
Pontificia Universidad Católica de Valparaíso	Contador Auditor	Administración y Comercio	Universidades CRUCH	17.5	De $800 mil a $1 millón	2432000
Pontificia Universidad Católica de Valparaíso	Derecho	Derecho	Universidades CRUCH	20.7	De $1 millón 400 mil a $1 millón 600 mil	3272000
Pontificia Universidad Católica de Valparaíso	Educación Diferencial mención Trastornos del Aprendizaje Específico	Educación	Universidades CRUCH	11.7	De $400 mil a $600 mil	1918000
Pontificia Universidad Católica de Valparaíso	Educación Parvularia	Educación	Universidades CRUCH	10.1	De $400 mil a $600 mil	1787000
Pontificia Universidad Católica de Valparaíso	Geografía	Ciencias Sociales	Universidades CRUCH	15.3	De $800 mil a $1 millón	1918000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Bioquímica	Tecnología	Universidades CRUCH	17.0	De $1 millón a $1 millón 200 mil	2950000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Electrónica	Tecnología	Universidades CRUCH	17.5	De $1 millón 400 mil a $1 millón 600 mil	2950000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Eléctrica	Tecnología	Universidades CRUCH	s/i	De $1 millón 600 mil a $1 millón 800 mil	2950000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Industrial	Tecnología	Universidades CRUCH	16.1	De $1 millón 200 mil a $1 millón 400 mil	3272000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Mecánica	Tecnología	Universidades CRUCH	19.8	s/i	2950000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil Química	Tecnología	Universidades CRUCH	20.6	De $1 millón 400 mil a $1 millón 600 mil	2950000
Pontificia Universidad Católica de Valparaíso	Ingeniería Civil en Informática	Tecnología	Universidades CRUCH	18.2	s/i	3003000
Pontificia Universidad Católica de Valparaíso	Ingeniería Comercial	Ciencias Sociales	Universidades CRUCH	14.6	De $1 millón 200 mil a $1 millón 400 mil	3272000
Pontificia Universidad Católica de Valparaíso	Ingeniería Electrónica	Tecnología	Universidades CRUCH	17.5	s/i	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería Eléctrica	Tecnología	Universidades CRUCH	16.9	s/i	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería Mecánica	Tecnología	Universidades CRUCH	s/i	s/i	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería de Alimentos	Tecnología	Universidades CRUCH	16.9	s/i	2754000
Pontificia Universidad Católica de Valparaíso	Ingeniería de Ejecución en Bioprocesos	Tecnología	Universidades CRUCH	11.4	De $600 mil a $800 mil	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería de Ejecución en Informática	Tecnología	Universidades CRUCH	14.6	De $1 millón 200 mil a $1 millón 400 mil	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería de Transporte	Tecnología	Universidades CRUCH	14.1	De $1 millón a $1 millón 200 mil	2332000
Pontificia Universidad Católica de Valparaíso	Ingeniería en Acuicultura y Pesquera	Agropecuaria	Universidades CRUCH	s/i	s/i	2754000
Pontificia Universidad Católica de Valparaíso	Ingeniería en Construcción	Tecnología	Universidades CRUCH	17.5	De $1 millón 200 mil a $1 millón 400 mil	2950000
Pontificia Universidad Católica de Valparaíso	Interpretación o Traducción Inglés-Español	Humanidades	Universidades CRUCH	s/i	De $400 mil a $600 mil	2332000
Pontificia Universidad Católica de Valparaíso	Kinesiología	Salud	Universidades CRUCH	15.3	De $600 mil a $800 mil	3272000
Pontificia Universidad Católica de Valparaíso	Pedagogía Educación Básica	Educación	Universidades CRUCH	s/i	De $400 mil a $600 mil	1787000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Castellano y/o Licenciatura en Lengua y Literatura Hispánica	Educación	Universidades CRUCH	12.9	De $400 mil a $600 mil	1825000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Educación Física	Educación	Universidades CRUCH	13.1	De $400 mil a $600 mil	1825000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Filosofía y Religión	Educación	Universidades CRUCH	14.7	s/i	1787000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Física, Biología y Química	Educación	Universidades CRUCH	12.9	De $400 mil a $600 mil	1780303
Pontificia Universidad Católica de Valparaíso	Pedagogía en Historia, Geografía y Ciencias Sociales y/o Licenciatura en Historia	Educación	Universidades CRUCH	14.1	De $400 mil a $600 mil	1958000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Inglés y/o Licenciatura en Lengua y Literatura Inglesa	Educación	Universidades CRUCH	12.9	s/i	1825000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Matemáticas y/o Licenciatura en Matemáticas	Educación	Universidades CRUCH	12.4	De $600 mil a $800 mil	1825000
Pontificia Universidad Católica de Valparaíso	Pedagogía en Música y/o Licenciatura en Ciencias y Artes Musicales	Educación	Universidades CRUCH	12.8	De $400 mil a $600 mil	1787000
Pontificia Universidad Católica de Valparaíso	Periodismo	Ciencias Sociales	Universidades CRUCH	14.1	De $600 mil a $800 mil	2754000
Pontificia Universidad Católica de Valparaíso	Psicología	Ciencias Sociales	Universidades CRUCH	16.0	De $600 mil a $800 mil	3272000
Pontificia Universidad Católica de Valparaíso	Trabajo Social	Ciencias Sociales	Universidades CRUCH	14.3	De $600 mil a $800 mil	1918000
Universidad Academia de Humanismo Cristiano	Administración Pública	Ciencias Sociales	Universidades Privadas	s/i	s/i	1643868
Universidad Academia de Humanismo Cristiano	Derecho	Derecho	Universidades Privadas	s/i	s/i	2253225
Universidad Academia de Humanismo Cristiano	Ingeniería de Ejecución en Gestión Pública	Ciencias Sociales	Universidades Privadas	17.7	De $800 mil a $1 millón	1454000
Universidad Academia de Humanismo Cristiano	Pedagogía en Educación Básica	Educación	Universidades Privadas	11.6	De $400 mil a $600 mil	1690914
Universidad Academia de Humanismo Cristiano	Pedagogía en Historia y Ciencias Sociales	Educación	Universidades Privadas	13.6	s/i	1818000
Universidad Academia de Humanismo Cristiano	Psicología	Ciencias Sociales	Universidades Privadas	14.8	De $600 mil a $800 mil	2244000
Universidad Academia de Humanismo Cristiano	Sociología	Ciencias Sociales	Universidades Privadas	17.8	s/i	2163000
Universidad Academia de Humanismo Cristiano	Trabajo Social	Ciencias Sociales	Universidades Privadas	17.0	De $600 mil a $800 mil	1807000
Universidad Adolfo Ibáñez	Derecho	Derecho	Universidades Privadas	14.3	De $1 millón 200 mil a $1 millón 400 mil	3831102
Universidad Adolfo Ibáñez	Ingeniería Civil Industrial	Tecnología	Universidades Privadas	15.1	De $1 millón 600 mil a $1 millón 800 mil	4078029
Universidad Adolfo Ibáñez	Ingeniería Comercial	Ciencias Sociales	Universidades Privadas	12.8	De $1 millón 600 mil a $1 millón 800 mil	4327653
Universidad Adolfo Ibáñez	Periodismo	Ciencias Sociales	Universidades Privadas	15.1	s/i	3538242
Universidad Adolfo Ibáñez	Psicología	Ciencias Sociales	Universidades Privadas	12.0	De $800 mil a $1 millón	3585701
Universidad Adventista de Chile	Pedagogía en Educación General Básica	Educación	Universidades Privadas	10.2	De $400 mil a $600 mil	1665000
Universidad Adventista de Chile	Técnico de Nivel Superior en Enfermería	Salud	Universidades Privadas	5.1	Menor a $400 mil	1045000
Universidad Alberto Hurtado	Derecho	Derecho	Universidades Privadas	s/i	s/i	3511000
Universidad Alberto Hurtado	Ingeniería Comercial	Ciencias Sociales	Universidades Privadas	s/i	s/i	3079923
Universidad Alberto Hurtado	Psicología	Ciencias Sociales	Universidades Privadas	12.5	De $600 mil a $800 mil	3370250
Universidad Alberto Hurtado	Sociología	Ciencias Sociales	Universidades Privadas	12.2	De $800 mil a $1 millón	3060000
Universidad Alberto Hurtado	Trabajo Social	Ciencias Sociales	Universidades Privadas	11.3	s/i	2510000
Universidad Arturo Prat	Arquitectura	Arte y Arquitectura	Universidades CRUCH	s/i	s/i	2033000
Universidad Arturo Prat	Contador Público y Auditor	Administración y Comercio	Universidades CRUCH	12.9	De $600 mil a $800 mil	1434025
Universidad Arturo Prat	Derecho	Derecho	Universidades CRUCH	18.6	s/i	2078596
Universidad Arturo Prat	Educación Parvularia	Educación	Universidades CRUCH	12.4	De $400 mil a $600 mil	1446000
Universidad Arturo Prat	Enfermería	Salud	Universidades CRUCH	13.6	De $800 mil a $1 millón	1797771
Universidad Arturo Prat	Ingeniería Civil Industrial	Tecnología	Universidades CRUCH	16.2	De $1 millón 400 mil a $1 millón 600 mil	2403653
Universidad Arturo Prat	Ingeniería Civil Metalúrgica	Tecnología	Universidades CRUCH	s/i	s/i	1973000
Universidad Arturo Prat	Ingeniería Comercial	Ciencias Sociales	Universidades CRUCH	13.9	De $800 mil a $1 millón	2164357
Universidad Arturo Prat	Ingeniería de Ejecución en Administración de Empresas	Administración y Comercio	Universidades CRUCH	10.2	De $600 mil a $800 mil	2006374
Universidad Arturo Prat	Ingeniería de Ejecución en Administración de Empresas mención Administración Pública	Ciencias Sociales	Universidades CRUCH	10.4	s/i	951000
Universidad Arturo Prat	Licenciatura en Trabajo Social	Ciencias Sociales	Universidades CRUCH	13.2	De $600 mil a $800 mil	1736000
Universidad Arturo Prat	Pedagogía en Educación Básica	Educación	Universidades CRUCH	12.4	De $400 mil a $600 mil	1399000
Universidad Arturo Prat	Pedagogía en Educación Física	Educación	Universidades CRUCH	12.9	s/i	1393000
Universidad Arturo Prat	Pedagogía en Inglés	Educación	Universidades CRUCH	13.4	De $400 mil a $600 mil	1511000
Universidad Arturo Prat	Psicología	Ciencias Sociales	Universidades CRUCH	12.9	s/i	1998526
Universidad Arturo Prat	Química y Farmacia	Salud	Universidades CRUCH	16.6	s/i	2022000
Universidad Arturo Prat	Técnico de Nivel Superior Administración de Empresas	Administración y Comercio	Universidades CRUCH	7.3	s/i	921149
Universidad Arturo Prat	Técnico de Nivel Superior Asistente Jurídico	Derecho	Universidades CRUCH	10.5	s/i	994000
Universidad Arturo Prat	Técnico de Nivel Superior Enfermería	Salud	Universidades CRUCH	8.1	s/i	955895
Universidad Arturo Prat	Técnico de Nivel Superior Prevención de Riesgos	Tecnología	Universidades CRUCH	7.5	De $600 mil a $800 mil	999577
Universidad Arturo Prat	Técnico de Nivel Superior Traductor Bilingüe Inglés-Español	Humanidades	Universidades CRUCH	11.3	De $400 mil a $600 mil	1013000
Universidad Arturo Prat	Técnico en Óptica	Salud	Universidades CRUCH	9.5	s/i	1013000
Universidad Austral de Chile	Administración de Empresas de Turismo	Administración y Comercio	Universidades CRUCH	14.2	De $400 mil a $600 mil	1903000
Universidad Austral de Chile	Agronomía	Agropecuaria	Universidades CRUCH	17.9	De $1 millón a $1 millón 200 mil	2943000
Universidad Austral de Chile	Antropología	Ciencias Sociales	Universidades CRUCH	19.3	s/i	1976000
Universidad Austral de Chile	Arquitectura	Arte y Arquitectura	Universidades CRUCH	16.5	s/i	3058000
Universidad Austral de Chile	Auditoría	Administración y Comercio	Universidades CRUCH	12.5	De $800 mil a $1 millón	2279614
Universidad Austral de Chile	Biología Marina	Agropecuaria	Universidades CRUCH	18.6	s/i	2350000
Universidad Austral de Chile	Bioquímica	Ciencias Básicas	Universidades CRUCH	19.0	s/i	2434000
Universidad Austral de Chile	Derecho	Derecho	Universidades CRUCH	18.3	De $1 millón 400 mil a $1 millón 600 mil	2756000
Universidad Austral de Chile	Enfermería	Salud	Universidades CRUCH	12.8	De $1 millón a $1 millón 200 mil	2756000
Universidad Austral de Chile	Fonoaudiología	Salud	Universidades CRUCH	12.8	s/i	2756000
Universidad Austral de Chile	Ingeniería Civil en Informática	Tecnología	Universidades CRUCH	19.4	De $1 millón 200 mil a $1 millón 400 mil	2756000
Universidad Austral de Chile	Ingeniería Civil en Obras Civiles	Tecnología	Universidades CRUCH	19.2	De $1 millón 400 mil a $1 millón 600 mil	2756000
Universidad Austral de Chile	Ingeniería Comercial	Ciencias Sociales	Universidades CRUCH	14.0	De $1 millón a $1 millón 200 mil	2756000
Universidad Austral de Chile	Ingeniería Forestal	Agropecuaria	Universidades CRUCH	17.8	De $600 mil a $800 mil	2652000
Universidad Austral de Chile	Ingeniería Naval	Tecnología	Universidades CRUCH	17.5	s/i	2600000
Universidad Austral de Chile	Ingeniería en Acuicultura	Agropecuaria	Universidades CRUCH	19.1	s/i	2444000
Universidad Austral de Chile	Ingeniería en Alimentos	Tecnología	Universidades CRUCH	17.3	De $600 mil a $800 mil	2434000
Universidad Austral de Chile	Ingeniería en Computación	Tecnología	Universidades CRUCH	17.1	s/i	2444000
Universidad Austral de Chile	Ingeniería en Construcción	Tecnología	Universidades CRUCH	17.5	De $800 mil a $1 millón	2600000
Universidad Austral de Chile	Licenciatura en Ciencias Biológicas	Ciencias Básicas	Universidades CRUCH	12.8	s/i	2350000
Universidad Austral de Chile	Medicina	Salud	Universidades CRUCH	15.0	De $1 millón 800 mil a $2 millones	3900000
Universidad Austral de Chile	Medicina Veterinaria	Agropecuaria	Universidades CRUCH	17.2	De $800 mil a $1 millón	3120000
Universidad Austral de Chile	Obstetricia y Puericultura	Salud	Universidades CRUCH	12.7	De $800 mil a $1 millón	2756000
Universidad Austral de Chile	Pedagogía en Comunicación en Lengua Inglesa	Educación	Universidades CRUCH	12.0	s/i	1976000
Universidad Austral de Chile	Pedagogía en Educación Física Deportes y Recreación	Educación	Universidades CRUCH	9.4	s/i	1976000
Universidad Austral de Chile	Pedagogía en Lenguaje y Comunicación	Educación	Universidades CRUCH	10.3	De $400 mil a $600 mil	1976000
Universidad Austral de Chile	Periodismo	Ciencias Sociales	Universidades CRUCH	14.0	De $400 mil a $600 mil	2350000
Universidad Austral de Chile	Psicología	Ciencias Sociales	Universidades CRUCH	12.1	s/i	2756000
Universidad Austral de Chile	Química y Farmacia	Salud	Universidades CRUCH	19.3	De $1 millón a $1 millón 200 mil	2756000
Universidad Austral de Chile	Tecnología Médica	Salud	Universidades CRUCH	14.2	De $600 mil a $800 mil	2756000
Universidad Austral de Chile	Terapia Ocupacional	Salud	Universidades CRUCH	12.3	s/i	2756000
Universidad Autónoma de Chile	Arquitectura	Arte y Arquitectura	Universidades Privadas	16.9	s/i	2436000
Universidad Autónoma de Chile	Contador Público Auditor	Administración y Comercio	Universidades Privadas	11.2	s/i	1676433
Universidad Autónoma de Chile	Derecho	Derecho	Universidades Privadas	16.7	s/i	2424758
Universidad Autónoma de Chile	Enfermería	Salud	Universidades Privadas	11.2	s/i	2699609
Universidad Autónoma de Chile	Ingeniería Civil Industrial	Tecnología	Universidades Privadas	s/i	s/i	2616818
Universidad Autónoma de Chile	Ingeniería Comercial	Ciencias Sociales	Universidades Privadas	13.7	s/i	2315494
Universidad Autónoma de Chile	Ingeniería en Construcción	Tecnología	Universidades Privadas	13.2	s/i	2361943
Universidad Autónoma de Chile	Ingeniería en Informática	Tecnología	Universidades Privadas	14.2	s/i	1611297
Universidad Autónoma de Chile	Kinesiología	Salud	Universidades Privadas	12.3	s/i	2690221
Universidad Autónoma de Chile	Nutrición y Dietética	Salud	Universidades Privadas	11.1	s/i	2796851
Universidad Autónoma de Chile	Pedagogía en Castellano	Educación	Universidades Privadas	10.3	s/i	1653600
Universidad Autónoma de Chile	Pedagogía en Educación Básica	Educación	Universidades Privadas	9.9	De $400 mil a $600 mil	1684907
Universidad Autónoma de Chile	Pedagogía en Educación Física	Educación	Universidades Privadas	11.0	s/i	1894058
Universidad Autónoma de Chile	Pedagogía en Educación Parvularia	Educación	Universidades Privadas	9.5	De $400 mil a $600 mil	1644135
Universidad Autónoma de Chile	Pedagogía en Historia, Geografía y Ciencias Sociales	Educación	Universidades Privadas	11.4	De $400 mil a $600 mil	1653600
Universidad Autónoma de Chile	Pedagogía en Inglés	Educación	Universidades Privadas	11.6	De $400 mil a $600 mil	1753219
Universidad Autónoma de Chile	Pedagogía en Matemáticas y Física	Educación	Universidades Privadas	10.1	s/i	1653600
Universidad Autónoma de Chile	Psicología	Ciencias Sociales	Universidades Privadas	12.4	s/i	2424950
Universidad Autónoma de Chile	Trabajo Social	Ciencias Sociales	Universidades Privadas	13.0	De $400 mil a $600 mil	1621858
Universidad Autónoma de Chile	Técnico Universitario en Administración mención Gestión de Empresas	Administración y Comercio	Universidades Privadas	7.2	s/i	1125911
Universidad Autónoma de Chile	Técnico Universitario en Relaciones Públicas y Producción Eventos	Ciencias Sociales	Universidades Privadas	8.2	s/i	1057000
Universidad Bernardo O'Higgins	Derecho	Derecho	Universidades Privadas	18.3	s/i	2100000
Universidad Bernardo O'Higgins	Ingeniería de Ejecución en Cartografía	Tecnología	Universidades Privadas	s/i	s/i	1604000
Universidad Bernardo O'Higgins	Ingeniería de Ejecución en Prevención de Riesgos y Medio Ambiente	Tecnología	Universidades Privadas	10.9	De $800 mil a $1 millón	1601000
Universidad Bernardo O'Higgins	Pedagogía en Educación General Básica	Educación	Universidades Privadas	11.1	s/i	1482000
Universidad Bernardo O'Higgins	Periodismo	Ciencias Sociales	Universidades Privadas	s/i	s/i	1837000
Universidad Bolivariana	Administración Pública	Ciencias Sociales	Universidades Privadas	11.6	s/i	1306758
Universidad Bolivariana	Derecho	Derecho	Universidades Privadas	17.6	De $800 mil a $1 millón	1771332
Universidad Bolivariana	Enfermería	Salud	Universidades Privadas	s/i	s/i	1869798
Universidad Bolivariana	Ingeniería Industrial	Tecnología	Universidades Privadas	s/i	s/i	1193750
Universidad Bolivariana	Ingeniería en Prevención de Riesgos	Tecnología	Universidades Privadas	s/i	s/i	1267429
Universidad Bolivariana	Pedagogía en Educación Básica	Educación	Universidades Privadas	10.9	s/i	1202931
Universidad Bolivariana	Pedagogía en Educación Física y Deporte	Educación	Universidades Privadas	s/i	s/i	1290000
Universidad Bolivariana	Psicología	Ciencias Sociales	Universidades Privadas	17.4	s/i	1530163
Universidad Bolivariana	Trabajo Social	Ciencias Sociales	Universidades Privadas	12.2	De $400 mil a $600 mil	1203163
Universidad Católica Silva Henríquez	Contador Público y Auditor	Administración y Comercio	Universidades Privadas	s/i	s/i	1912200
Universidad Católica Silva Henríquez	Educación Parvularia	Educación	Universidades Privadas	9.4	De $400 mil a $600 mil	2121900
Universidad Católica Silva Henríquez	Ingeniería Comercial	Ciencias Sociales	Universidades Privadas	13.0	De $800 mil a $1 millón	2006300
Universidad Católica Silva Henríquez	Pedagogía en Castellano	Educación	Universidades Privadas	11.4	De $400 mil a $600 mil	2121900
Universidad Católica Silva Henríquez	Pedagogía en Educación Básica	Educación	Universidades Privadas	9.3	De $400 mil a $600 mil	2121900
Universidad Católica Silva Henríquez	Pedagogía en Educación Diferencial	Educación	Universidades Privadas	10.2	De $400 mil a $600 mil	2121900
Universidad Católica Silva Henríquez	Pedagogía en Educación Física	Educación	Universidades Privadas	11.4	De $400 mil a $600 mil	2272700
Universidad Católica Silva Henríquez	Pedagogía en Historia y Geografía	Educación	Universidades Privadas	11.9	De $400 mil a $600 mil	2121900
Universidad Católica Silva Henríquez	Pedagogía en Inglés	Educación	Universidades Privadas	11.9	De $400 mil a $600 mil	2239800
Universidad Católica Silva Henríquez	Pedagogía en Matemáticas e Informática Educativa	Educación	Universidades Privadas	11.4	De $600 mil a $800 mil	2121900
Universidad Católica Silva Henríquez	Pedagogía en Religión en Educación Básica y Media	Educación	Universidades Privadas	s/i	s/i	1856500
Universidad Católica Silva Henríquez	Psicología	Ciencias Sociales	Universidades Privadas	11.7	s/i	2239800
Universidad Católica Silva Henríquez	Sociología	Ciencias Sociales	Universidades Privadas	11.4	De $600 mil a $800 mil	2121900
Universidad Católica Silva Henríquez	Trabajo Social	Ciencias Sociales	Universidades Privadas	10.3	De $600 mil a $800 mil	2121900
Universidad Católica de Temuco	Agronomía	Agropecuaria	Universidades CRUCH	15.7	De $800 mil a $1 millón	2389639
Universidad Católica de Temuco	Derecho	Derecho	Universidades CRUCH	15.4	De $1 millón a $1 millón 200 mil	2905000
Universidad Católica de Temuco	Educación de Párvulos	Educación	Universidades CRUCH	10.6	De $400 mil a $600 mil	1835000
Universidad Católica de Temuco	Ingeniería en Acuicultura	Agropecuaria	Universidades CRUCH	14.8	s/i	2332127
Universidad Católica de Temuco	Licenciatura en Antropología	Ciencias Sociales	Universidades CRUCH	15.8	s/i	2141000
Universidad Católica de Temuco	Medicina Veterinaria	Agropecuaria	Universidades CRUCH	17.1	De $600 mil a $800 mil	3119000
Universidad Católica de Temuco	Pedagogía Media en Ciencias Naturales y Biología	Educación	Universidades CRUCH	s/i	De $400 mil a $600 mil	1835000
Universidad Católica de Temuco	Pedagogía Media en Matemática	Educación	Universidades CRUCH	s/i	De $400 mil a $600 mil	1835000
Universidad Católica de Temuco	Pedagogía en Educación Básica	Educación	Universidades CRUCH	11.1	De $400 mil a $600 mil	1835000
Universidad Católica de Temuco	Pedagogía en Educación Diferencial con Especialidad en N.E.E.T. y Deficiencia Mental	Educación	Universidades CRUCH	10.9	De $400 mil a $600 mil	1835000
Universidad Católica de Temuco	Pedagogía en Inglés	Educación	Universidades CRUCH	12.0	s/i	2141000
Universidad Católica de Temuco	Trabajo Social	Ciencias Sociales	Universidades CRUCH	11.7	De $600 mil a $800 mil	1835000
Universidad Católica de la Santísima Concepción	Biología Marina	Agropecuaria	Universidades CRUCH	15.6	De $400 mil a $600 mil	2138000
Universidad Católica de la Santísima Concepción	Contador Auditor	Administración y Comercio	Universidades CRUCH	13.2	De $600 mil a $800 mil	1897320
Universidad Católica de la Santísima Concepción	Educación de Párvulos	Educación	Universidades CRUCH	9.9	De $400 mil a $600 mil	1766000
Universidad Católica de la Santísima Concepción	Ingeniería Civil Industrial	Tecnología	Universidades CRUCH	18.0	De $800 mil a $1 millón	2423000
Universidad Católica de la Santísima Concepción	Ingeniería Civil Informática	Tecnología	Universidades CRUCH	18.5	De $1 millón 200 mil a $1 millón 400 mil	2423000
Universidad Católica de la Santísima Concepción	Ingeniería Comercial	Ciencias Sociales	Universidades CRUCH	14.4	De $800 mil a $1 millón	2357000
Universidad Católica de la Santísima Concepción	Ingeniería de Ejecución Industrial	Tecnología	Universidades CRUCH	19.6	s/i	1140159
Universidad Católica de la Santísima Concepción	Ingeniería de Ejecución en Administración de Empresas mención Finanzas y Comercio Internacional	Administración y Comercio	Universidades CRUCH	s/i	s/i	1099624
Universidad Católica de la Santísima Concepción	Licenciatura en Derecho	Derecho	Universidades CRUCH	18.1	De $1 millón a $1 millón 200 mil	2501000
Universidad Católica de la Santísima Concepción	Licenciatura en Enfermería	Salud	Universidades CRUCH	10.7	De $800 mil a $1 millón	2689000
Universidad Católica de la Santísima Concepción	Licenciatura en Medicina	Salud	Universidades CRUCH	14.5	Sobre $2 millones	4296000
Universidad Católica de la Santísima Concepción	Nutrición y Dietética	Salud	Universidades CRUCH	11.9	s/i	1928000
Universidad Católica de la Santísima Concepción	Pedagogía Media en Religión y Moral	Educación	Universidades CRUCH	13.3	s/i	1465000
Universidad Católica de la Santísima Concepción	Pedagogía en Educación General Básica	Educación	Universidades CRUCH	9.6	De $400 mil a $600 mil	1511000
Universidad Católica de la Santísima Concepción	Pedagogía en Educación Media en Inglés	Educación	Universidades CRUCH	12.9	s/i	1651000
Universidad Católica de la Santísima Concepción	Pedagogía en Educación Media en Lenguaje y Comunicación	Educación	Universidades CRUCH	12.0	s/i	1620000
Universidad Católica de la Santísima Concepción	Periodismo	Ciencias Sociales	Universidades CRUCH	13.7	De $600 mil a $800 mil	2203000
Universidad Católica de la Santísima Concepción	Química Ambiental	Ciencias Básicas	Universidades CRUCH	s/i	s/i	2098000
Universidad Católica de la Santísima Concepción	Trabajo Social	Ciencias Sociales	Universidades CRUCH	12.9	s/i	1735000
Universidad Católica de la Santísima Concepción	Técnico Universitario en Enfermería	Salud	Universidades CRUCH	8.3	s/i	997739
Universidad Católica del Maule	Agronomía	Agropecuaria	Universidades CRUCH	19.1	s/i	2460000
Universidad Católica del Maule	Auditoría	Administración y Comercio	Universidades CRUCH	14.8	De $800 mil a $1 millón	1600000
Universidad Católica del Maule	Educación Especial con mención Trastornos Específicos del Aprendizaje/Retardo Mental	Educación	Universidades CRUCH	11.0	De $400 mil a $600 mil	1870000
Universidad Católica del Maule	Enfermería	Salud	Universidades CRUCH	13.1	De $1 millón a $1 millón 200 mil	2570000
Universidad Católica del Maule	Ingeniería Civil Informática	Tecnología	Universidades CRUCH	17.6	s/i	2630000
Universidad Católica del Maule	Ingeniería Forestal	Agropecuaria	Universidades CRUCH	21.5	De $600 mil a $800 mil	2360000
Universidad Católica del Maule	Ingeniería en Construcción	Tecnología	Universidades CRUCH	16.8	De $1 millón a $1 millón 200 mil	2570000
Universidad Católica del Maule	Kinesiología	Salud	Universidades CRUCH	14.8	De $800 mil a $1 millón	2570000
Universidad Católica del Maule	Pedagogía en Ciencias mención en Biología, Física, Química	Educación	Universidades CRUCH	11.6	s/i	1870000
Universidad Católica del Maule	Pedagogía en Educación Física con Mención	Educación	Universidades CRUCH	12.0	De $400 mil a $600 mil	1870000
Universidad Católica del Maule	Pedagogía en Educación General Básica	Educación	Universidades CRUCH	11.1	De $400 mil a $600 mil	1820000
Universidad Católica del Maule	Pedagogía en Educación Parvularia	Educación	Universidades CRUCH	9.5	De $400 mil a $600 mil	1820000
Universidad Católica del Maule	Pedagogía en Religión y Filosofía	Educación	Universidades CRUCH	12.5	De $400 mil a $600 mil	1820000
Universidad Católica del Maule	Psicología con mención Psicología de la Salud-Psicología Educacional	Ciencias Sociales	Universidades CRUCH	12.4	s/i	2470000
Universidad Católica del Maule	Trabajo Social	Ciencias Sociales	Universidades CRUCH	12.5	De $600 mil a $800 mil	1910000
Universidad Católica del Norte	Arquitectura	Arte y Arquitectura	Universidades CRUCH	18.3	De $1 millón a $1 millón 200 mil	2754000
Universidad Católica del Norte	Biología Marina	Agropecuaria	Universidades CRUCH	16.9	s/i	2499000
Universidad Católica del Norte	Contador Auditor/Contador Público	Administración y Comercio	Universidades CRUCH	14.2	De $1 millón a $1 millón 200 mil	2532290
Universidad Católica del Norte	Derecho	Derecho	Universidades CRUCH	17.3	De $1 millón 600 mil a $1 millón 800 mil	2754000
Universidad Católica del Norte	Geología	Ciencias Básicas	Universidades CRUCH	21.1	s/i	2754000
Universidad Católica del Norte	Ingeniería Civil	Tecnología	Universidades CRUCH	19.8	De $1 millón 600 mil a $1 millón 800 mil	2656000
Universidad Católica del Norte	Ingeniería Civil Industrial	Tecnología	Universidades CRUCH	18.0	De $1 millón 800 mil a $2 millones	2656000
Universidad Católica del Norte	Ingeniería Comercial	Ciencias Sociales	Universidades CRUCH	13.7	De $1 millón a $1 millón 200 mil	2754000
Universidad Católica del Norte	Ingeniería de Ejecución en Metalurgia	Tecnología	Universidades CRUCH	14.7	s/i	2268000
Universidad Católica del Norte	Ingeniería en Acuicultura	Agropecuaria	Universidades CRUCH	s/i	s/i	2416000
Universidad Católica del Norte	Ingeniería en Construcción	Tecnología	Universidades CRUCH	17.2	De $1 millón 200 mil a $1 millón 400 mil	2499000
Universidad Católica del Norte	Ingeniería en Prevención de Riesgos y Medioambiente	Tecnología	Universidades CRUCH	12.5	s/i	2499000
Universidad Católica del Norte	Medicina	Salud	Universidades CRUCH	15.1	s/i	3919000
Universidad Católica del Norte	Pedagogía en Educación Básica	Educación	Universidades CRUCH	s/i	s/i	1871000
Universidad Católica del Norte	Pedagogía en Inglés	Educación	Universidades CRUCH	12.1	s/i	2268000
Universidad Católica del Norte	Periodismo	Ciencias Sociales	Universidades CRUCH	11.9	De $600 mil a $800 mil	2499000
Universidad Católica del Norte	Psicología	Ciencias Sociales	Universidades CRUCH	12.8	De $800 mil a $1 millón	2499000
Universidad Católica del Norte	Química y Farmacia	Salud	Universidades CRUCH	16.6	s/i	2754000
Universidad Central de Chile	Administración Pública	Ciencias Sociales	Universidades Privadas	11.3	De $1 millón a $1 millón 200 mil	2621000
