ID	institucion	acreditacion	carrera	area	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel	IE_MAT	tipo_institucion	CLASIFICACION_INSTITUCION_NIVEL_0	CLASIFICACION_INSTITUCION_NIVEL_1	CLASIFICACION_INSTITUCION_NIVEL_3
138	IP Los Leones	4 años	Comunicación Social en Marketing	Ciencias Sociales	0,581081081081081	11,1	0,583333333333333	De $400 mil a $600 mil	915022	IP LOS LEONES	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1380	IP Dr. Virginio Gómez G.	4 años	Técnico en Enfermería	Salud	0,255670103092783	6,2	0,62882096069869	s/i	1202018	IP DR. VIRGINIO GOMEZ G.	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1381	IP Duoc UC	7 años	Técnico de Enfermería	Salud	0,205666316894019	6,7	0,785564853556485	Menor a $400 mil	1244056	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1382	IP IPEGE	No	Técnico en Enfermería	Salud	0,342857142857143	6,2	0,931034482758621	s/i	853791	IP IPEGE	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1383	IP Latinoamericano de Comercio Exterior	No	Técnico en Enfermería	Salud	0,433566433566434	7,2	0,622950819672131	s/i	953703	IP LATINOAMERICANO DE COMERCIO EXTERIOR	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1384	IP Providencia	4 años	Técnico de Enfermería	Salud	0,321428571428571	7,0	0,646924829157175	Menor a $400 mil	1011762	IP PROVIDENCIA	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1385	CFT Barros Arana	No	Técnico en Enfermería	Salud	0,384615384615385	6,8	0,596153846153846	Menor a $400 mil	1000000	CFT BARROS ARANA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1386	CFT CEDUC - UCN	5 años	Enfermería y Telemedicina	Salud	0,252525252525252	6,5	0,580645161290323	s/i	1105296	CFT CEDUC - UCN	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1387	CFT Ceponal	No	Técnico en Enfermería	Salud	0,457142857142857	6,1	0,875	s/i	1100000	CFT CEPONAL	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1388	CFT de ENAC	No	Técnico en Enfermería	Salud	0,300126103404792	6,8	0,85953488372093	Menor a $400 mil	980000	CFT DE ENAC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
