agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	13314	COLEGIO CRISTOBAL COLON	COQUIMBO	4	Particular Subvencionado	URBANO	728027761	450	473	67.8217821782
2011	13324	COLEGIO SANTA MARIA DE BELEN N_ 162	COQUIMBO	4	Particular Subvencionado	URBANO	391216628	527	542	43.6708860759
2011	13330	COLEGIO PARTICULAR PIERROT	LA SERENA	4	Particular Subvencionado	URBANO	149639220	413	397	63.8888888888
2011	13332	COLEGIO SAINT MARY SCHOOL	COQUIMBO	4	Particular Subvencionado	URBANO	168349250	556	557	48.8888888888
2011	13333	ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI	LA SERENA	4	Particular Subvencionado	RURAL	193105472	423	396	73.8693467336
2011	13341	COLEGIO PART. KOMVUX - COQUIMBO	COQUIMBO	4	Particular Subvencionado	URBANO	226602068	412	383	77.1084337349
2011	13344	COLEGIO AMERICANO	LA SERENA	4	Particular Subvencionado	URBANO	683881325	441	449	77.3913043478
2011	13352	LICEO POLIV.PADRE JOSE HERDE P-LHER	CANELA	4	Municipal	RURAL	411577151	376	432	90.6158357771
2011	13356	COLEGIO ALBERT EINSTEIN	LA SERENA	4	Particular Subvencionado	URBANO	568948893	546	559	45.4225352112
2011	13360	COLEGIO SAN NICOLAS	LA SERENA	4	Particular Subvencionado	URBANO	231137455	543	561	41.4285714285
2011	13361	"KID'S WORLD SCHOOL"	COQUIMBO	4	Particular Subvencionado	URBANO	620460049	540	543	54.9783549783
2011	13370	COLEGIO DEL ALBA	COQUIMBO	4	Particular Subvencionado	URBANO	565488579	583	589	29.4372294372
2011	13372	COLEGIO FRANCISCO PALAU	LA SERENA	4	Particular Subvencionado	URBANO	287190028	531	570	36.9426751592
2011	13373	COLEGIO PARTICULAR LEONARDO DA VINCI	COQUIMBO	4	Particular Subvencionado	URBANO	436468630	537	555	50.4587155963
2011	13383	COLEGIO CAMBRIDGE SCHOOL	SALAMANCA	4	Particular Subvencionado	URBANO	433144814	413	422	58.0310880829
2011	13384	"SAINT JOHN'S SCHOOL"	LA SERENA	4	Particular Subvencionado	URBANO	720878467	544	556	53.488372093
2011	13387	ESCUELA DE ARTES Y MUSICA	OVALLE	4	Municipal	URBANO	329962270	479	452	80.5369127516
2011	13388	COLEGIO SANTO TOMAS  LA SERENA	LA SERENA	4	Particular Subvencionado	URBANO	259747448	580	568	41.2121212121
2011	13416	COLEGIO ARTISTICO CULTURAL FORM-ARTE	LA SERENA	4	Particular Subvencionado	URBANO	160587996	468	478	57.4257425742
2011	13420	COLEGIO NUESTRA SENORA DE ANDACOLLO	LA SERENA	4	Particular Subvencionado	URBANO	1223832685	429	424	77.7777777777
2011	13426	COLEGIO SAN LUCAS	LA SERENA	4	Particular Subvencionado	URBANO	133853301	506	509	59.7701149425
2011	13427	COLEGIO LOS CONQUISTADORES	MONTE PATRIA	4	Particular Subvencionado	URBANO	431239054	466	433	71.53024911030001
2011	13439	COLEGIO PUCARA	OVALLE	4	Particular Subvencionado	URBANO	383220858	595	580	53.4722222222
2011	13442	COLEGIO SANTA FAMILIA	COQUIMBO	4	Particular Subvencionado	URBANO	781261725	487	501	48.6005089058
2011	13445	COLEGIO ESPANOL	COQUIMBO	4	Particular Subvencionado	URBANO	54369494	430	443	71.42857142850001
