agno	rbd	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento
2011	165	HUARA	1	Municipal	RURAL	28961722
2011	167	CAMIÑA	1	Municipal	URBANO	166088016
2011	168	CAMIÑA	1	Municipal	RURAL	32187009
2011	169	CAMIÑA	1	Municipal	RURAL	35805812
2011	170	CAMIÑA	1	Municipal	RURAL	32928491
2011	171	CAMIÑA	1	Municipal	RURAL	33151868
2011	172	CAMIÑA	1	Municipal	RURAL	23015974
2011	173	CAMIÑA	1	Municipal	RURAL	20916975
2011	174	CAMIÑA	1	Municipal	RURAL	34441091
2011	175	CAMIÑA	1	Municipal	RURAL	33143917
2011	177	COLCHANE	1	Municipal	RURAL	39302762
2011	178	COLCHANE	1	Municipal	URBANO	202286214
2011	179	COLCHANE	1	Municipal	RURAL	33131262
2011	185	COLCHANE	1	Municipal	RURAL	34226399
2011	186	COLCHANE	1	Municipal	RURAL	32717354
2011	187	PICA	1	Municipal	URBANO	317157251
2011	188	PICA	1	Municipal	RURAL	195745616
2011	191	POZO ALMONTE	1	Municipal	URBANO	662940891
2011	192	POZO ALMONTE	1	Municipal	RURAL	95968219
2011	193	POZO ALMONTE	1	Municipal	URBANO	426520849
2011	195	POZO ALMONTE	1	Municipal	RURAL	191825037
2011	196	POZO ALMONTE	1	Municipal	RURAL	35276144
2011	198	POZO ALMONTE	1	Municipal	RURAL	71505950
2011	199	TOCOPILLA	2	Municipal	URBANO	442114579
2011	200	TOCOPILLA	2	Municipal	URBANO	626281534
2011	201	TOCOPILLA	2	Municipal	URBANO	628713754
2011	203	TOCOPILLA	2	Municipal	URBANO	515302543
2011	204	TOCOPILLA	2	Municipal	URBANO	385819383
2011	205	TOCOPILLA	2	Municipal	URBANO	476263661
2011	206	TOCOPILLA	2	Municipal	URBANO	183340362
2011	207	TOCOPILLA	2	Municipal	URBANO	224273161
2011	208	TOCOPILLA	2	Particular Subvencionado	URBANO	945768316
2011	210	MARÍA ELENA	2	Municipal	URBANO	638095352
2011	211	MARÍA ELENA	2	Municipal	URBANO	307373642
2011	214	MARÍA ELENA	2	Municipal	RURAL	25734695
2011	217	CALAMA	2	Municipal	URBANO	975939327
2011	218	CALAMA	2	Municipal	URBANO	639528003
2011	219	CALAMA	2	Municipal	URBANO	1007148990
2011	220	CALAMA	2	Municipal	URBANO	944868034
2011	222	CALAMA	2	Municipal	URBANO	395624523
2011	223	CALAMA	2	Municipal	URBANO	569249798
2011	224	CALAMA	2	Municipal	URBANO	962939491
2011	225	CALAMA	2	Municipal	URBANO	890075274
2011	226	CALAMA	2	Municipal	URBANO	1070010703
2011	227	CALAMA	2	Municipal	URBANO	1170218563
2011	228	CALAMA	2	Municipal	URBANO	518656865
2011	229	CALAMA	2	Municipal	URBANO	566549950
2011	230	CALAMA	2	Municipal	URBANO	435880574
2011	231	CALAMA	2	Municipal	URBANO	535451757
2011	232	CALAMA	2	Municipal	URBANO	449021975
2011	234	CALAMA	2	Municipal	URBANO	272551552
2011	236	CALAMA	2	Municipal	URBANO	100245540
2011	237	CALAMA	2	Municipal	URBANO	164318734
2011	238	CALAMA	2	Municipal	URBANO	316667449
2011	239	CALAMA	2	Municipal	URBANO	554875523
2011	240	CALAMA	2	Municipal	URBANO	577600591
2011	241	CALAMA	2	Municipal	URBANO	126816813
2011	243	CALAMA	2	Municipal	RURAL	24858609
2011	244	CALAMA	2	Municipal	URBANO	188768221
2011	245	CALAMA	2	Municipal	URBANO	72345837
2011	246	CALAMA	2	Municipal	RURAL	48759596
2011	248	CALAMA	2	Municipal	RURAL	26216406
2011	249	CALAMA	2	Municipal	RURAL	5896623
2011	252	CALAMA	2	Municipal	RURAL	95457327
2011	253	CALAMA	2	Particular Subvencionado	URBANO	679389431
